time,logger,level,message,exception
2012-01-14 14:21:20.9586,Raven.Database.Indexing.IndexStorage,Info,Creating index WorkerSearch/Search with encoded name WorkerSearch/Search,
2012-01-14 14:21:20.9586,Raven.Database.Indexing.Index.Indexing,Debug,Creating index for WorkerSearch/Search,
2012-01-14 14:21:21.0087,Raven.Database.Indexing.WorkContext,Debug,Incremented work counter to 5 - step 1/2,
2012-01-14 14:21:21.0087,Raven.Database.Indexing.WorkContext,Debug,Incremented work counter to 6 - step 2/2,
2012-01-14 14:21:21.0287,Raven.Database.Indexing.WorkContext,Debug,"Not work was found, workerWorkCounter: 6, currentWorkCounter: 6, will wait for additional work",
2012-01-14 14:21:21.0287,Raven.Database.Indexing.WorkContext,Debug,"Not work was found, workerWorkCounter: 6, currentWorkCounter: 6, will wait for additional work",
2012-01-14 14:21:21.0287,Raven.Database.Indexing.WorkContext,Debug,"Not work was found, workerWorkCounter: 6, currentWorkCounter: 6, will wait for additional work",
2012-01-14 14:21:21.0287,Raven.Database.Indexing.WorkContext,Debug,"Not work was found, workerWorkCounter: 6, currentWorkCounter: 6, will wait for additional work",
2012-01-14 14:21:21.1989,Raven.Database.Server.HttpServer,Debug,Request #  58: PUT     - 3.566 ms - <default>  - 201 - /indexes/WorkerSearch/Search,
2012-01-14 14:21:21.3392,Raven.Database.Server.HttpServer,Debug,Request #  59: HEAD    -     2 ms - <default>  - 404 - /indexes/Skills/All,
2012-01-14 14:21:21.9701,Raven.Database.Storage.IndexDefinitionStorage,Info,"New index Skills%2fAll:
using Raven.Abstractions;
using Raven.Database.Linq;
using System.Linq;
using System.Collections.Generic;
using System.Collections;
using System;
using Raven.Database.Linq.PrivateExtensions;
using Lucene.Net.Documents;
using Raven.Database.Indexing;
public class Index_Skills_2fAll : AbstractViewGenerator
{
	public Index_Skills_2fAll()
	{
		this.ViewText = @""docs.WorkerSearches
	.SelectMany(search => search.Skills, (search, skill) => new {Name = skill, SearchCount = 1})
docs.Applicants
	.SelectMany(applicant => applicant.Skills, (applicant, skill) => new {Name = skill, SearchCount = 0})
results
	.GroupBy(result => result.Name)
	.Select(skill => new {SearchCount = skill.Sum(x => x.SearchCount), Name = skill.Key})

"";
		this.ForEntityNames.Add(""WorkerSearches"");
		this.AddMapDefinition(docs => docs.Where(__document => __document[""@metadata""][""Raven-Entity-Name""] == ""WorkerSearches"").SelectMany(search => search.Skills, (search, skill) => new { Name = skill, SearchCount = 1, __document_id = search.__document_id }));
		this.ForEntityNames.Add(""Applicants"");
		this.AddMapDefinition(docs => docs.Where(__document => __document[""@metadata""][""Raven-Entity-Name""] == ""Applicants"").SelectMany(applicant => applicant.Skills, (applicant, skill) => new { Name = skill, SearchCount = 0, __document_id = applicant.__document_id }));
		this.ReduceDefinition = results => results.GroupBy(result => result.Name).Select(skill => new { SearchCount = skill.Sum(x => x.SearchCount), Name = skill.Key });
		this.GroupByExtraction = result => result.Name;
		this.AddField(""SearchCount"");
		this.AddField(""Name"");
	}
}

Compiled to:
using Raven.Abstractions;
using Raven.Database.Linq;
using System.Linq;
using System.Collections.Generic;
using System.Collections;
using System;
using Raven.Database.Linq.PrivateExtensions;
using Lucene.Net.Documents;
using Raven.Database.Indexing;
public class Index_Skills_2fAll : AbstractViewGenerator
{
	public Index_Skills_2fAll()
	{
		this.ViewText = @""docs.WorkerSearches
	.SelectMany(search => search.Skills, (search, skill) => new {Name = skill, SearchCount = 1})
docs.Applicants
	.SelectMany(applicant => applicant.Skills, (applicant, skill) => new {Name = skill, SearchCount = 0})
results
	.GroupBy(result => result.Name)
	.Select(skill => new {SearchCount = skill.Sum(x => x.SearchCount), Name = skill.Key})

"";
		this.ForEntityNames.Add(""WorkerSearches"");
		this.AddMapDefinition(docs => docs.Where(__document => __document[""@metadata""][""Raven-Entity-Name""] == ""WorkerSearches"").SelectMany(search => search.Skills, (search, skill) => new { Name = skill, SearchCount = 1, __document_id = search.__document_id }));
		this.ForEntityNames.Add(""Applicants"");
		this.AddMapDefinition(docs => docs.Where(__document => __document[""@metadata""][""Raven-Entity-Name""] == ""Applicants"").SelectMany(applicant => applicant.Skills, (applicant, skill) => new { Name = skill, SearchCount = 0, __document_id = applicant.__document_id }));
		this.ReduceDefinition = results => results.GroupBy(result => result.Name).Select(skill => new { SearchCount = skill.Sum(x => x.SearchCount), Name = skill.Key });
		this.GroupByExtraction = result => result.Name;
		this.AddField(""SearchCount"");
		this.AddField(""Name"");
	}
}
",
2012-01-14 14:21:21.9801,Raven.Database.Indexing.IndexStorage,Info,Creating index Skills/All with encoded name Skills/All,
2012-01-14 14:21:21.9901,Raven.Database.Indexing.Index.Indexing,Debug,Creating index for Skills/All,
2012-01-14 14:21:22.0101,Raven.Database.Indexing.WorkContext,Debug,Incremented work counter to 7 - step 1/2,
2012-01-14 14:21:22.0101,Raven.Database.Indexing.WorkContext,Debug,Incremented work counter to 8 - step 2/2,
2012-01-14 14:21:22.0502,Raven.Database.Indexing.WorkContext,Debug,"Not work was found, workerWorkCounter: 8, currentWorkCounter: 8, will wait for additional work",
2012-01-14 14:21:22.0502,Raven.Database.Indexing.WorkContext,Debug,"Not work was found, workerWorkCounter: 8, currentWorkCounter: 8, will wait for additional work",
2012-01-14 14:21:22.0502,Raven.Database.Indexing.WorkContext,Debug,"Not work was found, workerWorkCounter: 8, currentWorkCounter: 8, will wait for additional work",
2012-01-14 14:21:22.0502,Raven.Database.Indexing.WorkContext,Debug,"Not work was found, workerWorkCounter: 8, currentWorkCounter: 8, will wait for additional work",
2012-01-14 14:21:22.0502,Raven.Database.Server.HttpServer,Debug,Request #  60: PUT     -   490 ms - <default>  - 201 - /indexes/Skills/All,
2012-01-14 14:21:22.0702,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'Raven/Hilo/WorkerSearches' was not found,
2012-01-14 14:21:22.0702,Raven.Database.Server.HttpServer,Debug,Request #  61: GET     -     2 ms - <default>  - 404 - /docs/Raven/Hilo/WorkerSearches,
2012-01-14 14:21:22.4407,Raven.Database.DocumentDatabase,Debug,Putting a document with key: Raven/Hilo/WorkerSearches and etag 00000000-0000-0000-0000-000000000000,
2012-01-14 14:21:22.6310,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,"Inserted a new document with key 'Raven/Hilo/WorkerSearches', update: False, ",
2012-01-14 14:21:22.6310,Raven.Database.Indexing.WorkContext,Debug,Incremented work counter to 9 - step 1/2,
